sentiment,content
joy,On days when I feel close to my partner and other friends.   When I feel at peace with myself and also experience a close  contact with people whom I regard greatly.
fear,Every time I imagine that someone I love or I could contact a  serious illness, even death.
anger,When I had been obviously unjustly treated and had no possibility  of elucidating this.
sadness,When I think about the short time that we live and relate it to  the periods of my life when I think that I did not use this  short time.
disgust,At a gathering I found myself involuntarily sitting next to two  people who expressed opinions that I considered very low and  discriminating.
shame,When I realized that I was directing the feelings of discontent  with myself at my partner and this way was trying to put the blame  on him instead of sorting out my own feeliings.
guilt,I feel guilty when when I realize that I consider material things  more important than caring for my relatives.  I feel very  self-centered.
joy,After my girlfriend had taken her exam we went to her parent's  place.
fear,When, for the first time I realized the meaning of death.
anger,When a car is overtaking another and I am forced to drive off the  road.
sadness,When I recently thought about the hard work it takes to study, and   how one wants to try something else.  When I read a theoretical  book in English that I did not understand.
disgust,When I found a bristle in the liver paste tube.
shame,When I was tired and unmotivated, I shouted at my girlfriend and  and brought up negative sides of her character which are actually  not so important.
guilt,When I think that I do not study enough.  After the weekend I  think that I should have been able to have accomplished  something during that time.
joy,When I pass an examination which I did not think I did well.
fear,When one has arranged to meet someone and that person arrives  late, in the meantime one starts thinking about all that could  have gone wrong e.g a traffic accident.
anger,When one is unjustly accused of something one has not done.
sadness,When one's studies seem hopelessly difficult and uninteresting.  
disgust,When one finds out that someone you know is not at all like one  had thought, for instance friends who steal and things like that,  quite unwarranted.
shame,When one has been unjust, stupid towards someone else. 
guilt,When one has neglected or been unjust to a good friend.
joy,Passing an exam I did not expect to pass.
fear,When I climbed up a tree to pick apples.  The angle of the ladder  I was on did not enable me to get high enough.  This implied  that the ladder was not very stable.
guilt,When excuses are necessary and I get out of doing it myself.
joy,When I had my children.
fear,When my 2 year old son climbed up and sat on the 7th floor  balcony with his legs hanging out.  He was holding on tightly to  the upper railing of the balcony but he could have easily lost  his balance when he sat down.
anger,When my partner was attacked and lost three teeth.
sadness,When I see children on T.V from areas devastated by drought and  war.
disgust,When I nearly walked on a blindworm and then saw it crawl away.
shame,When I saw my 18 year old son grab an oxygen mask as he had  breathing difficulties.  I had a bad conscience because I had not  stopped smoking.  Medication for the dilation of his breathing  tubes also caused a sense of guilt in me.
guilt,I experience a sense of guilt as my middle son cannot express  himself like other children, neither verbally nor in writing.
joy,When my child was born.
fear,It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed  in over my head.
anger,Unjust accusations directed at me and my way of acting, by someone close to me.  
sadness,Failing an examination.
disgust,A drunkard fell, started bleeding and wet himself.  Disgust that  turned into sadness-unpleasantness.
shame,When, as an adult I have been caught lying or behaving badly.
guilt,When I am in an environment or with a person much worse off than  me, I realize how privileged I am.
joy,When I saw a person I had not seen for a long time.
fear,When, as a child, I was nearly knocked down by a car.
anger,When I heard on the radio that the football match in Belgium had  ended in a catastrophe, and several people had died.  I could not   understand how normal people could behave in such a way.
sadness,When I feel lonely, perhaps because I have to study a lot and I  am shut up in my appartment.  Nothing happens in particular  because there is no time for anything else.
disgust,When one learns through the mass media all the wars and killing  going on in the world.
shame,I lied, to be precise I cancelled a meeting with a good friend.
guilt,When one lets friends down
joy,When I was accepted for a course on finance and accounting.
fear,A bus drove over my right leg.  The event itself was not very  frightening but when I had to wait in the emergency ward for  three hours and then my leg began to swell, I was frightened.
anger,At my Summer job, nobody looked after me in particular and I had  to learn all on my own.
sadness,When I was not accepted as a student in finance and accounting.
disgust,When I had just moved into my new appartment I found a ventilator  in the kitchen.  I was going to clean it when I found that the  drum was full of mud and slime.  I felt disgusted.
shame,My elder brother and I have not always had a good relationship  and I feel ashamed of myself as I do not call him to talk to him  nowadays.
guilt,At my Summer job a new caretaker had been employed who was my age   but I preferred going out for lunch with the accounts personnel  rather than with him.
joy,Passed an exam by 2 points.
fear,In a cottage in a large forest, I was alone for a while in the  dark.
sadness,Railway station good-bye.
disgust,I saw a cripple in rags with small children in Italy.  He was  probably an imposter.
shame,I told a friend that I was going to a party and he would not  enjoy himself if he came along.  He understood  that he would not  have fitted in and there was something in that.
guilt,I was the reason behind the break-up of my friend's relationship  with his girlfriend.  She finished with him.
joy,I passed an exam that I was absolutely certain that I had failed.
fear,On the way back from Denmark with a friend on a small yatch,  there was a storm and my friend was blown overboard;  I was very  scared till I managed to get him back onboard.
anger,I locked myself out.
sadness,I missed the last tram home and had to walk in the pouring rain.
disgust,I found some worms in the food and I had obviously eaten some.
shame,My friend was so intoxicated that the police came and took him  away, and they later contacted his parents.
guilt,I hapened to overhear something which I was not meant to hear.
joy,When I won a trip to Greece in a competition.
fear,When I am out in the dark and a suspicious looking character  comes towards me.
anger,At work, when an elderly man complained unjustifiably about me and  distrusted me.
sadness,When I had not understood anything after a lecture.
disgust,When an alcoholic stood dribbling over a food counter.
shame,When my friend and I were discussing the good looks of a guy we  realized that he had been listening.
guilt,When I complained about a colleague to the manager and he told  her that someone had complained; this colleague came to me  believing that I liked her.
joy,At a friend's birthday party with some of my closest friends.  It  was all very pleasant and one could say that I was happy to have  such good friends.
fear,On the way home one Friday night in the heavy rain the car  acquaplanned.  I lost contact with the road surface for a few  seconds.
anger,Mad at my dad.
sadness,A case of unrequited love.
disgust,A bad smelling cucumber.
shame,Nearly caught masturbating.
guilt,I do not help out enough at home.
joy,I felt very happy when I won the football pools.
fear,When I flew from Athens to Copenhagen after a holiday.  The plane  was caught in a storm and it began to shake and I thouhght that  we were going to crash.
anger,When someone stole my bike.
sadness,When I saw the list of books to read for an acccouting course, I  thought " Oh God how will I ever manaage it!"
disgust,It was when I read a newspaper article on the future and they  foresaw that we would be eating frog-burgers by the year 2000.   An illustration showed a frog between two pieces of bread.
shame,When I dropped a bottle in the state liquor store and everyboby  started laughing.
guilt,When I was young - 14, I pinched from a store and was caught.   The store then contacted my parents.
joy,When the whole family gets together for a one week holiday.   Everybody feels free and the trip is well planned.  It works out  well and we enjoy ourselves.
fear,When I could not find my 2 year old daughter.  I ran and looked  for her everywhere and could not find her.  (I finally found her,  she had gone to bed to sleep)
anger,When friends try to put me down or hurt me.  
sadness,Marriage crises.  Boredom.
disgust,When someone makes advances that one does not want.
shame,The discovery that one has only thought of oneself.
guilt,When I spanked a child in anger and later regretted it terribly.
joy,When I passed the first examination that I had to repeat.
fear,When I drove to Stockholm for the first time and drove off the  Stora Hissingen road at the wrong exit.
anger,When my boyfriend went away for a month long holiday without me.
sadness,Last year when I worked during the Summer holidays and studied  at the same time for an examination I had to repeat; my boyfriend  went to Greece for a holiday for a month.
disgust,When a dog is left whining outside a shop.
shame,When I promised to help a friend over a weekend and did not keep  the promise.
